UF;Indicador 1;Indicador 2;Indicador 3;Classificação da CAPAG;;
AC;82,07%;94,40%;15,05%;B;;
AL;126,48%;90,01%;74,82%;B;;
AM;55,74%;92,89%;88,93%;B;;
AP;63,68%;82,73%;26,82%;B;;
BA;72,89%;96,30%;87,58%;C;;
CE;69,15%;92,14%;47,84%;B;;
DF;40,26%;98,51%;541,81%;C;;
ES;55,30%;89,07%;11,69%;A;;
GO;93,35%;95,10%;1820,59%;C;;
MA;56,05%;95,39%;76,43%;C;;
MG;199,24%;105,94%;n.d;n.d;;
MS;90,25%;103,55%;151,27%;C;;
MT;46,94%;96,63%;-561,39%;C;;
PA;19,69%;91,38%;34,20%;B;;
PB;47,93%;92,91%;85,88%;B;;
PE;68,02%;96,37%;168,14%;C;;
PI;59,71%;94,80%;121,41%;C;;
PR;64,61%;94,64%;34,54%;B;;
RJ;295,15%;109,59%;-450,91%;D;;
RN;22,90%;97,04%;374,61%;C;;
RO;69,38%;89,72%;52,06%;B;;
RR;65,64%;90,23%;71,80%;B;;
RS;212,42%;101,55%;601,20%;D;;
SC;109,87%;96,60%;47,24%;C;;
SE;71,03%;98,50%;339,89%;C;;
SP;199,64%;93,75%;66,88%;B;;
TO;47,15%;89,51%;179,05%;C;;
