UF;Indicador 1;Nota 1;Indicador 2;Nota 2;Indicador 3;Nota 3;Classificação da CAPAG
AC;76,47%;B;91,39%;B;18,97%;A;B
AL;106,07%;B;85,78%;A;20,73%;A;B
AM;47,96%;A;90,77%;B;3,56%;A;B
AP;61,79%;B;78,53%;A;205,83%;C;C
BA;75,55%;B;92,83%;B;9,44%;A;B
CE;80,65%;B;90,74%;B;5,97%;A;B
DF;46,82%;A;93,98%;B;59,69%;A;B
ES;47,25%;A;83,83%;A;3,25%;A;A
GO;86,11%;B;95,96%;C;248,73%;C;C
MA;57,78%;A;94,00%;B;67,37%;A;B
MG;199,63%;C;101,04%;C;989,75%;C;D
MS;66,47%;B;89,26%;A;45,87%;A;B
MT;32,80%;A;86,90%;A;20,60%;A;A
PA;22,43%;A;90,29%;B;23,92%;A;B
PB;42,06%;A;89,47%;A;5,11%;A;A
PE;63,20%;B;94,20%;B;86,00%;A;B
PI;56,25%;A;91,22%;B;53,66%;A;B
PR;72,59%;B;92,30%;B;14,33%;A;B
RJ;324,42%;C;95,97%;C;625,06%;C;D
RN;37,06%;A;95,93%;C;6180,10%;C;C
RO;58,61%;A;84,52%;A;6,11%;A;A
RR;42,98%;A;80,98%;A;71,44%;A;A
RS;223,27%;C;101,06%;C;-552,00%;C;D
SC;89,84%;B;92,40%;B;5,45%;A;B
SE;52,83%;A;94,81%;B;15,93%;A;B
SP;198,32%;C;92,52%;B;41,68%;A;B
TO;59,26%;A;94,60%;B;153,79%;C;C
;;;;;;;
;;;;;;;
