UF;Indicador 1;Nota 1;Indicador 2;Nota 2;Indicador 3;Nota 3;Classificação da CAPAG;Observação;
AC;63,1%;B;90,95%;B;12,1%;A;B;;
AL;84,5%;B;82,61%;A;14,0%;A;B;;
AM;46,3%;A;91,78%;B;5,1%;A;B;;
AP;79,1%;B;76,94%;A;784,2%;C;C;;
BA;64,5%;B;88,10%;A;3,2%;A;B;;
CE;77,4%;B;88,00%;A;5,2%;A;B;;
DF;39,5%;A;92,52%;B;35,5%;A;B;;
ES;39,2%;A;82,09%;A;3,1%;A;A;;
GO;73,0%;B;91,34%;B;11,3%;A;B;;
MA;50,3%;A;91,05%;B;320,5%;C;C;;
MG;187,3%;C;95,94%;C;615,5%;C;D;;
MS;57,4%;A;86,40%;A;14,5%;A;A;;
MT;26,8%;A;81,95%;A;9,0%;A;A;;
PA;19,7%;A;89,71%;A;21,9%;A;A;;
PB;39,5%;A;86,52%;A;1,7%;A;A;;
PE;54,1%;A;92,20%;B;62,7%;A;B;;
PI;79,0%;B;88,86%;A;37,2%;A;B;;
PR;65,7%;B;89,84%;A;6,9%;A;B;;
RJ;222,7%;C;95,74%;C;83,6%;A;C;A nota da capag do RJ foi revisada de B para C em 11/11/2022 após a aplicação das regras previstas na Portaria STN 1.658 de 01/11/2022.;
RN;39,5%;A;97,05%;C;19474,1%;C;C;;
RO;48,7%;A;83,32%;A;14,2%;A;A;;
RR;33,9%;A;82,26%;A;40,1%;A;A;;
RS;198,7%;C;95,55%;C;5348,9%;C;D;;
SC;74,0%;B;90,45%;B;4,1%;A;B;;
SE;48,5%;A;92,89%;B;37,2%;A;B;;
SP;162,3%;C;89,58%;A;54,3%;A;B;;
TO;46,4%;A;91,46%;B;55,3%;A;B;;
