UF;Indicador 1;Nota 1;Indicador 2;Nota 2;Indicador 3;Nota 3;Classificação da CAPAG;Observação
AC;46,90%;A;90,47%;B;70,09%;A;B;
AL;91,85%;B;86,30%;B;46,60%;A;B;
AP;77,33%;B;76,24%;A;134,58%;C;C;
AM;40,00%;A;92,19%;B;9,20%;A;B;
BA;51,55%;A;84,81%;A;4,51%;A;A;
CE;60,27%;B;87,12%;B;8,46%;A;B;
DF;42,03%;A;94,28%;B;59,35%;A;B;
ES;34,21%;A;80,57%;A;6,98%;A;A;
GO;-;-;-;-;-;-;C;Os Estados que optaram por aderir ao Regime de Recuperação Fiscal (RRF) tiveram as notas de Capag revisadas com base no art. 6º da Portaria ME nº 5.623, de 2022, e no art. 31 da Portaria STN nº 10.464, de 2022.
MA;40,61%;A;89,07%;B;-;C;C;
MT;17,47%;A;78,85%;A;7,06%;A;A;
MS;49,17%;A;85,78%;B;11,99%;A;B;
MG;-;-;-;-;-;-;D;Os Estados que optaram por aderir ao Regime de Recuperação Fiscal (RRF) tiveram as notas de Capag revisadas com base no art. 6º da Portaria ME nº 5.623, de 2022, e no art. 31 da Portaria STN nº 10.464, de 2022.
PA;16,10%;A;87,86%;B;20,73%;A;B;
PB;33,75%;A;84,54%;A;2,82%;A;A;
PR;58,29%;A;87,12%;B;7,21%;A;B;
PE;47,18%;A;92,37%;B;146,49%;C;C;
PI;68,93%;B;89,90%;B;55,85%;A;B;
RJ;-;-;-;-;-;-;D;Os Estados que optaram por aderir ao Regime de Recuperação Fiscal (RRF) tiveram as notas de Capag revisadas com base no art. 6º da Portaria ME nº 5.623, de 2022, e no art. 31 da Portaria STN nº 10.464, de 2022.
RN;34,55%;A;95,49%;C;-;C;C;
RS;-;-;-;-;-;-;D;Os Estados que optaram por aderir ao Regime de Recuperação Fiscal (RRF) tiveram as notas de Capag revisadas com base no art. 6º da Portaria ME nº 5.623, de 2022, e no art. 31 da Portaria STN nº 10.464, de 2022.
RO;44,40%;A;83,67%;A;3,55%;A;A;
RR;27,29%;A;88,15%;B;22,55%;A;B;
SC;58,44%;A;89,04%;B;10,33%;A;B;
SP;144,53%;C;87,71%;B;37,78%;A;B;
SE;43,15%;A;92,35%;B;23,13%;A;B;
TO;31,94%;A;88,94%;B;36,80%;A;B;
