UF;Indicador 1;Nota 1;Indicador 2;Nota 2;Indicador 3;Nota 3;Classificação da CAPAG;Qualidade da informação contábil e fiscal;Observação
AC;34,95%;A;92,29%;B;-1,03%;C;C;Bicf;
AL;86,90%;B;88,31%;B;0,36%;B;B+;Aicf;
AM;42,80%;A;93,33%;B;1,07%;B;B+;Aicf;
AP;55,87%;A;82,46%;A;0,87%;B;A;Cicf;
BA;54,22%;A;87,66%;B;3,12%;B;B+;Aicf;
CE;52,13%;A;90,67%;B;6,87%;A;A+;Aicf;
DF;30,85%;A;95,27%;C;1,01%;B;C;Bicf;
ES;31,88%;A;77,75%;A;7,48%;A;A+;Aicf;
GO;65,53%;B;86,28%;B;12,95%;A;B+;Aicf;
MA;23,32%;A;83,90%;A;4,31%;B;A;Bicf;
MG;181,78%;C;95,21%;C;-19,53%;C;D;Aicf;
MS;47,11%;A;89,60%;B;4,10%;B;B+;Aicf;
MT;15,55%;A;82,38%;A;9,63%;A;A+;Aicf;
PA;21,16%;A;90,05%;B;3,18%;B;B+;Aicf;
PB;40,24%;A;84,66%;A;26,34%;A;A+;Aicf;
PE;42,80%;A;92,52%;B;1,93%;B;B+;Aicf;
PI;76,71%;B;91,99%;B;3,13%;B;B+;Aicf;
PR;44,72%;A;86,89%;B;24,08%;A;A+;Aicf;
RJ;231,81%;C;98,44%;C;-8,7%;C;D;Bicf;
RN;41,73%;A;95,74%;C;-16,04%;C;C;Aicf;
RO;33,36%;A;86,91%;B;9,88%;A;A+;Aicf;
RR;30,58%;A;93,00%;B;5,56%;A;A;Bicf;
RS;224,02%;C;94,98%;B;-11,38%;C;C;Aicf;
SC;51,44%;A;86,73%;B;11,26%;A;A+;Aicf;
SE;34,55%;A;88,50%;B;12,80%;A;A;Bicf;
SP;147,35%;C;89,75%;B;1,97%;B;B;Bicf;
TO;27,45%;A;92,16%;B;2,18%;B;B+;Aicf;
