ano;receita_corrente;receita_impostos_taxas;receita_impostos;desp_corrente_total;desp_corr_pessoal;desp_corr_juros;desp_corr_outras;desp_capital_total;desp_cap_investimentos;desp_cap_inversoes;desp_cap_amortizacao;resultado_corrente;desp_corr_sobre_rec_corr;rcl;receita_primaria;despesa_primaria;resultado_primario;pessoal_dtp;pessoal_rcl_ajust;pessoal_pct_rcl;pessoal_lim_max;pessoal_lim_prud;pessoal_lim_alerta;dc_bruta;dcl;divida_rcl_aj;dc_pct_rcl;dcl_pct_rcl;divida_limite;caixa_bruta_a2;garantias_total;garantias_pct_rcl;garantias_limite;opcredito_total;opcredito_apurado;opcredito_pct_rcl;opcredito_limite;caixa_bruta;caixa_liquida
2017;197405160958.91;150277286755.28;144002501913.5;184589590027.1;85944538084.01;8470553435.67;90174498507.42;15692940914.01;8813122962.5;3702846217.94;3176971733.57;12815570931.809998;93.50798587556808;151562454361.73;225674761894.04;216545337986.3;9129423907.74;65814113344.54;151528963696.73;43.43;49.0;46.55;44.1;294768329392.56;259106333818.64;151562454361.73;194.49;170.96;303124908723.46;28997038294.06;4121007033.31;2.72;48499985395.75;7803963953.46;7803963953.46;5.15;16.0;27395100365.08;10604986099.34
2018;207405896367.54;160083402169.59;153397171721.48;192785862049.43;88600398954.3;11243133856.78;92942329238.35;16859099455.96;8151676007.01;2484346156.22;6223077292.73;14620034318.110016;92.95100352778682;159210706095.47;206892889805.6;192134309564.73;12403802005.18;69016942651.04;159155348418.85;43.36;49.0;46.55;44.1;311794212065.99;279672335188.3;159210706095.47;195.84;175.66;318421412190.94;26607249330.84;4981120065.78;3.13;50947425950.55;2898266909.66;2898266909.66;1.82;16.0;27556108694.13;11633630043.83
2019;219652005293.88;185280880043.2;178072472638.49;206366404020.96;91531297333.03;12048064876.63;102787041811.3;16944764723.0;7148933267.52;2089040531.23;7706790924.25;13285601272.920013;93.95152288496308;160444552836.55;221521871593.65;203555484140.92;18329972785.08;71194688211.7;160359295919.93;44.4;49.0;46.55;44.1;312714949770.04;266730147182.02;160444552836.55;194.91;166.24;320889105673.1;28252866985.25;4763057578.69;2.97;51342256907.7;2255496551.47;2255496551.47;1.41;16.0;26115561920.03;9208229196.39
2020;226608219237.24;186240373770.76;179287516914.03;203672534236.6;96542218226.28;2928090164.67;104202225845.65;13059033051.9;6532108229.79;2680079445.79;3846845376.32;22935685000.639984;89.87870560130555;165229897154.96;227292750068.44;209956631747.51;19960046930.79;74992612397.39;164892618275.53;45.48;49.0;46.55;44.1;328439772752.97;274907386935.5;165117514742.53;198.91;166.49;330459794309.92;44150092971.6;6141901270.23;3.72;52837604717.61;1363560146.73;1255457468.76;0.76;16.0;37821345019.52;19347770773.31
2021;272854556289.76;228842079815.4;220013879151.03;233443347358.44;95903174734.94;11000918733.2;126539253890.3;25439214494.94;9573034759.05;6968414621.73;8897765114.16;39411208931.32001;85.55596451559087;197089874182.32;275041229184.34;238983878006.02;41890449997.8;76151422917.79;196835991677.1;38.69;49.0;46.55;44.1;321369575120.49;249588126649.45;196999264980.1;163.13;126.69;394179748364.64;69679042240.14;5756430078.15;2.92;63039764793.63;1149946992.32;1149946992.32;0.58;16.0;57801678632.15;29053484168.48
2022;314403778340.29;252708917533.54;242553235278.35;268364482403.69;112497984203.73;11977310591.54;143889187608.42;31146388328.51;18719879804.12;2972856495.21;9453652029.18;46039295936.599976;85.3566340138667;229464781384.87;309482036780.1;278079908111.48;21150630999.18;86901210788.16;229116679153.22;37.93;49.0;46.55;44.1;332206846922.68;264679333857.63;229362305114.22;144.84;115.4;458929562769.74;92355500337.28;5109354491.87;2.23;73395937636.55;3029459906.1;3029459906.1;1.32;16.0;75106432545.34;34588200054.91
2023;301906546274.71;222382655942.94;210779622937.42;273841053091.68;123604064917.58;13900293601.65;136336694572.45;28809906046.21;14372661933.95;4230306376.45;10206937735.81;28065493183.03003;90.70391366820753;229658088101.43;314180676296.05;295182532949.46;5467854379.32;97009484315.71;229187318031.19;42.33;49.0;46.55;44.1;347336600618.37;293473507896.39;229423072570.19;151.4;127.92;458846145140.38;69574406655.16;4938361844.55;2.15;73415383222.46;3472242744.66;3472242744.66;1.51;16.0;59252667526.68;19873578154.56
2024;330808495284.07;251871553254.47;238387838565.61;302757806137.41;134385481908.07;14888400867.26;153483923362.08;32934808745.08;15535687066.28;5998663332.65;11400458346.15;28050689146.660034;91.5205656606332;251366970706.76;345163635436.36;326531397153.15;12941505872.87;105811548439.06;250793910488.38;42.19;49.0;46.55;44.1;372192972626.3;317655576689.71;251011974754.38;148.28;126.55;502023949508.76;83648143572.18;5329168513.75;2.12;80323831921.4;3314122043.22;3314122043.22;1.32;16.0;69266552921.94;27690042402.35
2025;350722458389.2;268400139170.31;254156899493.93;321203899070.82;143575053312.56;15405991033.83;162222854724.43;34235377127.04;11829883529.0;10054585046.86;12350908551.18;29518559318.380005;91.58349897125123;266221395322.55;359127328915.24;341047412013.04;8459480549.55;109727119797.17;265761362580.37;41.29;49.0;46.55;44.1;382603718968.85;330471301118.9;266021234077.37;143.82;124.23;452042468154.74;72573039043.59;5161275787.07;1.94;85126794904.76;3181596590.16;3134743090.16;1.18;16.0;57788728445.4;31968977416.23
2026;189489480340.69;145716010189.88;138528324619.34;157221992581.16;72648670336.17;1681880051.62;82891442193.37;22154793687.14;4121455696.85;10848597813.3;7184740176.99;32267487759.53;82.97135666765504;276535368805.57;193392519444.31;176513482247.83;4538753702.24;115007415475.2;270315717268.75;42.55;49.0;46.55;44.1;388526773912.53;313388331856.48;270576841926.75;143.59;115.82;541153683853.5;82193375517.4;4799911668.29;1.77;86584589416.56;2977869253.08;2947029253.08;1.09;16.0;82193375517.4;
